"","X","Expert","Parameter","Scenario","Site","Min","Best","Max","Conf","Round","alphas","betas","dist"
"42",42,"aircon","Sali Adult Survival","Scenario 3","Refuge",0.7,0.8,0.9,0.8,"Round 2",23.7037061812101,6.11129520027747,"beta"
"43",43,"CDEDBDiis","Sali Adult Survival","Scenario 1a","HMU",0.7,0.85,0.92,0.9,"Round 2",21.7213526269365,4.14959784896815,"beta"
"44",44,"CDEDBDiis","Sali Adult Survival","Scenario 1b","HMU",0.5,0.65,0.75,0.9,"Round 2",24.5277333084707,13.2891486634801,"beta"
"45",45,"CDEDBDiis","Sali Adult Survival","Scenario 1c","HMU",0.55,0.7,0.8,0.9,"Round 2",24.1005288318748,10.4694443575427,"beta"
"46",46,"CDEDBDiis","Sali Adult Survival","Scenario 2a","HMU",0.65,0.75,0.88,0.9,"Round 2",31.8546501324065,10.6622657794642,"beta"
"47",47,"CDEDBDiis","Sali Adult Survival","Scenario 2b","HMU",0.5,0.57,0.7,0.9,"Round 2",37.6110073136596,28.368610977141,"beta"
"48",48,"CDEDBDiis","Sali Adult Survival","Scenario 2c","HMU",0.5,0.62,0.75,0.9,"Round 2",25.0714770118773,15.3941398993493,"beta"
"49",49,"CDEDBDiis","Sali Adult Survival","Scenario 3","HMU",0.7,0.8,0.9,0.85,"Round 2",28.6396930117344,7.28965611455782,"beta"
"50",50,"CDEDBDiis","Sali Adult Survival","Scenario 1a","Refuge",0.7,0.85,0.92,0.9,"Round 2",21.6505715955551,4.14013114513938,"beta"
"51",51,"CDEDBDiis","Sali Adult Survival","Scenario 1b","Refuge",0.5,0.65,0.75,0.9,"Round 2",24.3809010082862,13.226320938318,"beta"
"52",52,"CDEDBDiis","Sali Adult Survival","Scenario 1c","Refuge",0.55,0.7,0.8,0.9,"Round 2",24.0942231450507,10.4534901259236,"beta"
"53",53,"CDEDBDiis","Sali Adult Survival","Scenario 2a","Refuge",0.65,0.75,0.88,0.9,"Round 2",30.867790974089,10.3483418860556,"beta"
"54",54,"CDEDBDiis","Sali Adult Survival","Scenario 2b","Refuge",0.5,0.57,0.7,0.9,"Round 2",37.6090522426655,28.3717411655196,"beta"
"55",55,"CDEDBDiis","Sali Adult Survival","Scenario 2c","Refuge",0.5,0.62,0.75,0.9,"Round 2",24.8121499516982,15.2518692261504,"beta"
"56",56,"CDEDBDiis","Sali Adult Survival","Scenario 3","Refuge",0.7,0.8,0.9,0.9,"Round 2",36.9472526514762,9.31422710421967,"beta"
"57",57,"96929","Sali Adult Survival","Scenario 1a","HMU",0.6,0.74,0.85,0.9,"Round 2",24.4099105243704,8.70887115192897,"beta"
"58",58,"96929","Sali Adult Survival","Scenario 1b","HMU",0.5,0.6068,0.8,0.9,"Round 2",18.1650543265797,11.7120846482369,"beta"
"59",59,"96929","Sali Adult Survival","Scenario 1c","HMU",0.53,0.666,0.83,0.9,"Round 2",18.3255084060107,9.26097064068164,"beta"
"60",60,"96929","Sali Adult Survival","Scenario 2a","HMU",0.55,0.7104,0.85,0.9,"Round 2",17.5717257430497,7.33880645241618,"beta"
"61",61,"96929","Sali Adult Survival","Scenario 2b","HMU",0.5,0.592,0.8,0.9,"Round 2",17.931971096667,12.2442066649334,"beta"
"62",62,"96929","Sali Adult Survival","Scenario 2c","HMU",0.53,0.6512,0.83,0.9,"Round 2",18.4071789027582,9.87027500453902,"beta"
"63",63,"96929","Sali Adult Survival","Scenario 3","HMU",0.6,0.74,0.85,0.9,"Round 2",24.064712232743,8.59981515208165,"beta"
"64",64,"96929","Sali Adult Survival","Scenario 1a","Refuge",0.58,0.8,0.88,0.9,"Round 2",12.1890067161402,3.58824510738049,"beta"
"65",65,"96929","Sali Adult Survival","Scenario 1b","Refuge",0.52,0.7,0.82,0.9,"Round 2",16.2812323213814,7.21637496441434,"beta"
"66",66,"96929","Sali Adult Survival","Scenario 1c","Refuge",0.55,0.75,0.85,0.9,"Round 2",14.379627925405,5.19930891119879,"beta"
"67",67,"96929","Sali Adult Survival","Scenario 2a","Refuge",0.58,0.78,0.88,0.9,"Round 2",13.8189927021502,4.34978664801634,"beta"
"68",68,"96929","Sali Adult Survival","Scenario 2b","Refuge",0.52,0.7,0.82,0.9,"Round 2",16.1336992912716,7.1770966311298,"beta"
"69",69,"96929","Sali Adult Survival","Scenario 2c","Refuge",0.55,0.75,0.85,0.9,"Round 2",14.3919928791356,5.19834386721879,"beta"
"70",70,"96929","Sali Adult Survival","Scenario 3","Refuge",0.58,0.78,0.88,0.9,"Round 2",13.726892021996,4.32017695335598,"beta"
"71",71,"GuamX","Sali Juvenile Survival","Scenario 1a","HMU",0.39,0.67,0.7,0.9,"Round 2",11.7898353429876,6.44851163971926,"beta"
"72",72,"GuamX","Sali Juvenile Survival","Scenario 1b","HMU",0.25,0.49,0.55,0.9,"Round 2",14.3010292620554,15.1661857190201,"beta"
"73",73,"GuamX","Sali Juvenile Survival","Scenario 1c","HMU",0.3,0.55,0.65,0.9,"Round 2",10.5902901408552,9.0746557589546,"beta"
"74",74,"GuamX","Sali Juvenile Survival","Scenario 2a","HMU",0.39,0.65,0.7,0.9,"Round 2",12.92982504704,7.48457308525292,"beta"
"75",75,"GuamX","Sali Juvenile Survival","Scenario 2b","HMU",0.25,0.49,0.5,0.9,"Round 2",21.120195421087,22.1553039646302,"beta"
"76",76,"GuamX","Sali Juvenile Survival","Scenario 2c","HMU",0.3,0.53,0.55,0.9,"Round 2",21.9586595512805,19.6526227400158,"beta"
"77",77,"GuamX","Sali Juvenile Survival","Scenario 3","HMU",0.39,0.63,0.7,0.9,"Round 2",13.9011148076208,8.58785729370475,"beta"
"78",78,"GuamX","Sali Juvenile Survival","Scenario 1a","Refuge",0.39,0.65,0.7,0.9,"Round 2",12.6996897680288,7.37669574858962,"beta"
"79",79,"GuamX","Sali Juvenile Survival","Scenario 1b","Refuge",0.25,0.49,0.55,0.9,"Round 2",14.6067698225391,15.4756738750861,"beta"
"80",80,"GuamX","Sali Juvenile Survival","Scenario 1c","Refuge",0.3,0.5,0.65,0.9,"Round 2",10.573426517691,10.7189566136395,"beta"
"81",81,"GuamX","Sali Juvenile Survival","Scenario 2a","Refuge",0.39,0.67,0.7,0.9,"Round 2",11.834946618475,6.47001969067332,"beta"
"82",82,"GuamX","Sali Juvenile Survival","Scenario 2b","Refuge",0.25,0.49,0.5,0.9,"Round 2",20.8393473996999,21.853510524184,"beta"
"83",83,"GuamX","Sali Juvenile Survival","Scenario 2c","Refuge",0.3,0.53,0.55,0.9,"Round 2",21.7334714149867,19.4630367798602,"beta"
"84",84,"GuamX","Sali Juvenile Survival","Scenario 3","Refuge",0.39,0.65,0.7,0.9,"Round 2",12.8978108529503,7.46305948168497,"beta"
"85",85,"Expert 1","Sali Juvenile Survival","Scenario 1a","HMU",0,0.35,0.5,0.8,"Round 2",3.28950484858284,5.5856676508861,"beta"
"86",86,"Expert 1","Sali Juvenile Survival","Scenario 1b","HMU",0,0.15,0.3,0.8,"Round 2",2.70648765513348,12.224298065436,"beta"
"87",87,"Expert 1","Sali Juvenile Survival","Scenario 1c","HMU",0,0.18,0.35,0.8,"Round 2",2.84896229385173,10.4173251777586,"beta"
"88",88,"Expert 1","Sali Juvenile Survival","Scenario 2a","HMU",0,0.25,0.4,0.8,"Round 2",3.4494947999785,9.0957303595642,"beta"
"89",89,"Expert 1","Sali Juvenile Survival","Scenario 2b","HMU",0,0.12,0.25,0.8,"Round 2",2.57019682558313,15.224357270781,"beta"
"90",90,"Expert 1","Sali Juvenile Survival","Scenario 2c","HMU",0,0.13,0.28,0.8,"Round 2",2.51403983670085,13.1712739076496,"beta"
"91",91,"Expert 1","Sali Juvenile Survival","Scenario 3","HMU",0,0.25,0.4,0.8,"Round 2",3.41214759831459,8.95205351726666,"beta"
"92",92,"Expert 1","Sali Juvenile Survival","Scenario 1a","Refuge",0.35,0.5,0.65,0.8,"Round 2",8.84205842273635,8.86384353873375,"beta"
"93",93,"Expert 1","Sali Juvenile Survival","Scenario 1b","Refuge",0.1,0.3,0.5,0.8,"Round 2",3.45095908833705,6.98182973242391,"beta"
"94",94,"Expert 1","Sali Juvenile Survival","Scenario 1c","Refuge",0.15,0.4,0.55,0.8,"Round 2",4.37218320406786,6.44671511859413,"beta"
"95",95,"Expert 1","Sali Juvenile Survival","Scenario 2a","Refuge",0.25,0.45,0.6,0.8,"Round 2",5.98661414457205,7.31869444934274,"beta"
"96",96,"Expert 1","Sali Juvenile Survival","Scenario 2b","Refuge",0.2,0.3,0.4,0.8,"Round 2",10.7263501272904,24.8270513993046,"beta"
"97",97,"Expert 1","Sali Juvenile Survival","Scenario 2c","Refuge",0.25,0.35,0.5,0.8,"Round 2",8.20532402206685,14.8009367697121,"beta"
"98",98,"Expert 1","Sali Juvenile Survival","Scenario 3","Refuge",0.35,0.5,0.65,0.8,"Round 2",8.98932793870769,8.97164848706553,"beta"
"99",99,"aircon","Sali Juvenile Survival","Scenario 1a","HMU",0.5,0.6,0.7,0.75,"Round 2",19.1115034862552,12.8019666620954,"beta"
"100",100,"aircon","Sali Juvenile Survival","Scenario 1b","HMU",0.2,0.4,0.5,0.8,"Round 2",7.46030567882852,11.3241844899154,"beta"
"101",101,"aircon","Sali Juvenile Survival","Scenario 1c","HMU",0.4,0.5,0.6,0.7,"Round 2",13.4996810173982,13.5185964674173,"beta"
"102",102,"aircon","Sali Juvenile Survival","Scenario 2a","HMU",0.4,0.5,0.6,0.7,"Round 2",13.488847164427,13.486149860229,"beta"
"103",103,"aircon","Sali Juvenile Survival","Scenario 2b","HMU",0.1,0.3,0.4,0.8,"Round 2",5.7279053849268,13.1551059803207,"beta"
"104",104,"aircon","Sali Juvenile Survival","Scenario 2c","HMU",0.3,0.4,0.5,0.7,"Round 2",10.5091786439045,15.6193652609812,"beta"
"105",105,"aircon","Sali Juvenile Survival","Scenario 3","HMU",0.5,0.6,0.7,0.75,"Round 2",19.0407785853588,12.7629237081637,"beta"
