"","Expert","Parameter","Scenario","Site","Min","Best","Max","Conf","Round"
"55","CDEDBDiis","Ko'ko' Adult Survival","Scenario 2c","Refuge",0.5,0.6,0.8,0.85,"Round 2"
"56","CDEDBDiis","Ko'ko' Adult Survival","Scenario 3","Refuge",0.8,0.85,0.9,0.85,"Round 2"
"57","96929","Ko'ko' Adult Survival","Scenario 1a","HMU",0.57,0.7125,0.855,0.9,"Round 2"
"58","96929","Ko'ko' Adult Survival","Scenario 1b","HMU",0.456,0.57,0.684,0.9,"Round 2"
"59","96929","Ko'ko' Adult Survival","Scenario 1c","HMU",0.513,0.64125,0.7695,0.9,"Round 2"
"60","96929","Ko'ko' Adult Survival","Scenario 2a","HMU",0.456,0.57,0.684,0.9,"Round 2"
"61","96929","Ko'ko' Adult Survival","Scenario 2b","HMU",0.3876,0.4845,0.5814,0.9,"Round 2"
"62","96929","Ko'ko' Adult Survival","Scenario 2c","HMU",0.4104,0.513,0.6156,0.9,"Round 2"
"63","96929","Ko'ko' Adult Survival","Scenario 3","HMU",0.57,0.7125,0.855,0.9,"Round 2"
"64","96929","Ko'ko' Adult Survival","Scenario 1a","Refuge",0.6,0.75,0.9,0.9,"Round 2"
"65","96929","Ko'ko' Adult Survival","Scenario 1b","Refuge",0.48,0.6,0.72,0.9,"Round 2"
"66","96929","Ko'ko' Adult Survival","Scenario 1c","Refuge",0.54,0.675,0.81,0.9,"Round 2"
"67","96929","Ko'ko' Adult Survival","Scenario 2a","Refuge",0.48,0.6,0.72,0.9,"Round 2"
"68","96929","Ko'ko' Adult Survival","Scenario 2b","Refuge",0.408,0.51,0.612,0.9,"Round 2"
"69","96929","Ko'ko' Adult Survival","Scenario 2c","Refuge",0.432,0.54,0.648,0.9,"Round 2"
"70","96929","Ko'ko' Adult Survival","Scenario 3","Refuge",0.6,0.75,0.9,0.9,"Round 2"
"71","GuamX","Ko'ko' Juvenile Survival","Scenario 1a","HMU",0.6,0.65,0.78,0.9,"Round 2"
"72","GuamX","Ko'ko' Juvenile Survival","Scenario 1b","HMU",0.45,0.5,0.72,0.9,"Round 2"
"73","GuamX","Ko'ko' Juvenile Survival","Scenario 1c","HMU",0.55,0.6,0.73,0.9,"Round 2"
"74","GuamX","Ko'ko' Juvenile Survival","Scenario 2a","HMU",0.53,0.65,0.78,0.9,"Round 2"
"75","GuamX","Ko'ko' Juvenile Survival","Scenario 2b","HMU",0.45,0.5,0.75,0.9,"Round 2"
"76","GuamX","Ko'ko' Juvenile Survival","Scenario 2c","HMU",0.55,0.6,0.73,0.9,"Round 2"
"77","GuamX","Ko'ko' Juvenile Survival","Scenario 3","HMU",0.6,0.65,0.75,0.9,"Round 2"
"78","GuamX","Ko'ko' Juvenile Survival","Scenario 1a","Refuge",0.6,0.65,0.78,0.9,"Round 2"
