"","Expert","Parameter","Scenario","Site","Min","Best","Max","Conf","Round"
"59","96929","Sali Adult Survival","Scenario 1c","HMU",0.53,0.666,0.83,0.9,"Round 2"
"60","96929","Sali Adult Survival","Scenario 2a","HMU",0.55,0.7104,0.85,0.9,"Round 2"
"61","96929","Sali Adult Survival","Scenario 2b","HMU",0.5,0.592,0.8,0.9,"Round 2"
"62","96929","Sali Adult Survival","Scenario 2c","HMU",0.53,0.6512,0.83,0.9,"Round 2"
"63","96929","Sali Adult Survival","Scenario 3","HMU",0.6,0.74,0.85,0.9,"Round 2"
"64","96929","Sali Adult Survival","Scenario 1a","Refuge",0.58,0.8,0.88,0.9,"Round 2"
"65","96929","Sali Adult Survival","Scenario 1b","Refuge",0.52,0.7,0.82,0.9,"Round 2"
"66","96929","Sali Adult Survival","Scenario 1c","Refuge",0.55,0.75,0.85,0.9,"Round 2"
"67","96929","Sali Adult Survival","Scenario 2a","Refuge",0.58,0.78,0.88,0.9,"Round 2"
"68","96929","Sali Adult Survival","Scenario 2b","Refuge",0.52,0.7,0.82,0.9,"Round 2"
"69","96929","Sali Adult Survival","Scenario 2c","Refuge",0.55,0.75,0.85,0.9,"Round 2"
"70","96929","Sali Adult Survival","Scenario 3","Refuge",0.58,0.78,0.88,0.9,"Round 2"
"71","GuamX","Sali Juvenile Survival","Scenario 1a","HMU",0.39,0.67,0.7,0.9,"Round 2"
"72","GuamX","Sali Juvenile Survival","Scenario 1b","HMU",0.25,0.49,0.55,0.9,"Round 2"
"73","GuamX","Sali Juvenile Survival","Scenario 1c","HMU",0.3,0.55,0.65,0.9,"Round 2"
"74","GuamX","Sali Juvenile Survival","Scenario 2a","HMU",0.39,0.65,0.7,0.9,"Round 2"
"75","GuamX","Sali Juvenile Survival","Scenario 2b","HMU",0.25,0.49,0.5,0.9,"Round 2"
"76","GuamX","Sali Juvenile Survival","Scenario 2c","HMU",0.3,0.53,0.55,0.9,"Round 2"
"77","GuamX","Sali Juvenile Survival","Scenario 3","HMU",0.39,0.63,0.7,0.9,"Round 2"
"78","GuamX","Sali Juvenile Survival","Scenario 1a","Refuge",0.39,0.65,0.7,0.9,"Round 2"
"79","GuamX","Sali Juvenile Survival","Scenario 1b","Refuge",0.25,0.49,0.55,0.9,"Round 2"
"80","GuamX","Sali Juvenile Survival","Scenario 1c","Refuge",0.3,0.5,0.65,0.9,"Round 2"
"81","GuamX","Sali Juvenile Survival","Scenario 2a","Refuge",0.39,0.67,0.7,0.9,"Round 2"
"82","GuamX","Sali Juvenile Survival","Scenario 2b","Refuge",0.25,0.49,0.5,0.9,"Round 2"
"83","GuamX","Sali Juvenile Survival","Scenario 2c","Refuge",0.3,0.53,0.55,0.9,"Round 2"
"84","GuamX","Sali Juvenile Survival","Scenario 3","Refuge",0.39,0.65,0.7,0.9,"Round 2"
"85","Expert 1","Sali Juvenile Survival","Scenario 1a","HMU",0,0.35,0.5,0.8,"Round 2"
"86","Expert 1","Sali Juvenile Survival","Scenario 1b","HMU",0,0.15,0.3,0.8,"Round 2"
"87","Expert 1","Sali Juvenile Survival","Scenario 1c","HMU",0,0.18,0.35,0.8,"Round 2"
"88","Expert 1","Sali Juvenile Survival","Scenario 2a","HMU",0,0.25,0.4,0.8,"Round 2"
"89","Expert 1","Sali Juvenile Survival","Scenario 2b","HMU",0,0.12,0.25,0.8,"Round 2"
"90","Expert 1","Sali Juvenile Survival","Scenario 2c","HMU",0,0.13,0.28,0.8,"Round 2"
"91","Expert 1","Sali Juvenile Survival","Scenario 3","HMU",0,0.25,0.4,0.8,"Round 2"
"92","Expert 1","Sali Juvenile Survival","Scenario 1a","Refuge",0.35,0.5,0.65,0.8,"Round 2"
"93","Expert 1","Sali Juvenile Survival","Scenario 1b","Refuge",0.1,0.3,0.5,0.8,"Round 2"
"94","Expert 1","Sali Juvenile Survival","Scenario 1c","Refuge",0.15,0.4,0.55,0.8,"Round 2"
"95","Expert 1","Sali Juvenile Survival","Scenario 2a","Refuge",0.25,0.45,0.6,0.8,"Round 2"
"96","Expert 1","Sali Juvenile Survival","Scenario 2b","Refuge",0.2,0.3,0.4,0.8,"Round 2"
"97","Expert 1","Sali Juvenile Survival","Scenario 2c","Refuge",0.25,0.35,0.5,0.8,"Round 2"
"98","Expert 1","Sali Juvenile Survival","Scenario 3","Refuge",0.35,0.5,0.65,0.8,"Round 2"
"99","aircon","Sali Juvenile Survival","Scenario 1a","HMU",0.5,0.6,0.7,0.75,"Round 2"
"100","aircon","Sali Juvenile Survival","Scenario 1b","HMU",0.2,0.4,0.5,0.8,"Round 2"
"101","aircon","Sali Juvenile Survival","Scenario 1c","HMU",0.4,0.5,0.6,0.7,"Round 2"
"102","aircon","Sali Juvenile Survival","Scenario 2a","HMU",0.4,0.5,0.6,0.7,"Round 2"
"103","aircon","Sali Juvenile Survival","Scenario 2b","HMU",0.1,0.3,0.4,0.8,"Round 2"
"104","aircon","Sali Juvenile Survival","Scenario 2c","HMU",0.3,0.4,0.5,0.7,"Round 2"
"105","aircon","Sali Juvenile Survival","Scenario 3","HMU",0.5,0.6,0.7,0.75,"Round 2"
"106","aircon","Sali Juvenile Survival","Scenario 1a","Refuge",0.6,0.7,0.8,0.75,"Round 2"
"107","aircon","Sali Juvenile Survival","Scenario 1b","Refuge",0.3,0.5,0.6,0.8,"Round 2"
"108","aircon","Sali Juvenile Survival","Scenario 1c","Refuge",0.5,0.6,0.7,0.7,"Round 2"
"109","aircon","Sali Juvenile Survival","Scenario 2a","Refuge",0.5,0.6,0.7,0.7,"Round 2"
"110","aircon","Sali Juvenile Survival","Scenario 2b","Refuge",0.2,0.4,0.5,0.8,"Round 2"
"111","aircon","Sali Juvenile Survival","Scenario 2c","Refuge",0.4,0.5,0.6,0.7,"Round 2"
"112","aircon","Sali Juvenile Survival","Scenario 3","Refuge",0.6,0.7,0.8,0.75,"Round 2"
"113","CDEDBDiis","Sali Juvenile Survival","Scenario 1a","HMU",0.58,0.65,0.73,0.9,"Round 2"
"114","CDEDBDiis","Sali Juvenile Survival","Scenario 1b","HMU",0.45,0.5,0.6,0.9,"Round 2"
"115","CDEDBDiis","Sali Juvenile Survival","Scenario 1c","HMU",0.5,0.57,0.65,0.9,"Round 2"
"116","CDEDBDiis","Sali Juvenile Survival","Scenario 2a","HMU",0.5,0.61,0.68,0.9,"Round 2"
"117","CDEDBDiis","Sali Juvenile Survival","Scenario 2b","HMU",0.35,0.43,0.55,0.9,"Round 2"
"118","CDEDBDiis","Sali Juvenile Survival","Scenario 2c","HMU",0.4,0.45,0.6,0.9,"Round 2"
"119","CDEDBDiis","Sali Juvenile Survival","Scenario 3","HMU",0.55,0.63,0.7,0.9,"Round 2"
"120","CDEDBDiis","Sali Juvenile Survival","Scenario 1a","Refuge",0.58,0.65,0.73,0.9,"Round 2"
"121","CDEDBDiis","Sali Juvenile Survival","Scenario 1b","Refuge",0.45,0.5,0.6,0.9,"Round 2"
"122","CDEDBDiis","Sali Juvenile Survival","Scenario 1c","Refuge",0.5,0.57,0.65,0.9,"Round 2"
"123","CDEDBDiis","Sali Juvenile Survival","Scenario 2a","Refuge",0.5,0.61,0.68,0.9,"Round 2"
"124","CDEDBDiis","Sali Juvenile Survival","Scenario 2b","Refuge",0.35,0.43,0.55,0.9,"Round 2"
"125","CDEDBDiis","Sali Juvenile Survival","Scenario 2c","Refuge",0.4,0.45,0.6,0.9,"Round 2"
"126","CDEDBDiis","Sali Juvenile Survival","Scenario 3","Refuge",0.55,0.63,0.7,0.9,"Round 2"
"127","96929","Sali Juvenile Survival","Scenario 1a","HMU",0.4,0.6,0.8,0.9,"Round 2"
"128","96929","Sali Juvenile Survival","Scenario 1b","HMU",0.2,0.35,0.5,0.9,"Round 2"
"129","96929","Sali Juvenile Survival","Scenario 1c","HMU",0.3,0.45,0.65,0.9,"Round 2"
"130","96929","Sali Juvenile Survival","Scenario 2a","HMU",0.35,0.5,0.7,0.9,"Round 2"
"131","96929","Sali Juvenile Survival","Scenario 2b","HMU",0.2,0.3,0.45,0.9,"Round 2"
"132","96929","Sali Juvenile Survival","Scenario 2c","HMU",0.25,0.35,0.5,0.9,"Round 2"
"133","96929","Sali Juvenile Survival","Scenario 3","HMU",0.4,0.6,0.8,0.9,"Round 2"
"134","96929","Sali Juvenile Survival","Scenario 1a","Refuge",0.4,0.6,0.8,0.9,"Round 2"
"135","96929","Sali Juvenile Survival","Scenario 1b","Refuge",0.2,0.35,0.5,0.9,"Round 2"
"136","96929","Sali Juvenile Survival","Scenario 1c","Refuge",0.3,0.45,0.65,0.9,"Round 2"
"137","96929","Sali Juvenile Survival","Scenario 2a","Refuge",0.35,0.5,0.7,0.9,"Round 2"
"138","96929","Sali Juvenile Survival","Scenario 2b","Refuge",0.2,0.3,0.45,0.9,"Round 2"
"139","96929","Sali Juvenile Survival","Scenario 2c","Refuge",0.25,0.35,0.5,0.9,"Round 2"
"140","96929","Sali Juvenile Survival","Scenario 3","Refuge",0.4,0.6,0.8,0.9,"Round 2"
"141","GuamX","Sali Fledgling Survival","Scenario 1a","HMU",0.2,0.4,0.45,0.9,"Round 2"
"142","GuamX","Sali Fledgling Survival","Scenario 1b","HMU",0.15,0.25,0.35,0.9,"Round 2"
"143","GuamX","Sali Fledgling Survival","Scenario 1c","HMU",0.15,0.3,0.35,0.9,"Round 2"
"144","GuamX","Sali Fledgling Survival","Scenario 2a","HMU",0.2,0.4,0.45,0.9,"Round 2"
"145","GuamX","Sali Fledgling Survival","Scenario 2b","HMU",0.15,0.25,0.35,0.9,"Round 2"
"146","GuamX","Sali Fledgling Survival","Scenario 2c","HMU",0.15,0.3,0.35,0.9,"Round 2"
"147","GuamX","Sali Fledgling Survival","Scenario 3","HMU",0.2,0.4,0.45,0.9,"Round 2"
"148","GuamX","Sali Fledgling Survival","Scenario 1a","Refuge",0.2,0.4,0.45,0.9,"Round 2"
"149","GuamX","Sali Fledgling Survival","Scenario 1b","Refuge",0.15,0.25,0.35,0.9,"Round 2"
"150","GuamX","Sali Fledgling Survival","Scenario 1c","Refuge",0.15,0.3,0.35,0.9,"Round 2"
"151","GuamX","Sali Fledgling Survival","Scenario 2a","Refuge",0.2,0.4,0.45,0.9,"Round 2"
"152","GuamX","Sali Fledgling Survival","Scenario 2b","Refuge",0.15,0.25,0.35,0.9,"Round 2"
"153","GuamX","Sali Fledgling Survival","Scenario 2c","Refuge",0.15,0.3,0.35,0.9,"Round 2"
"154","GuamX","Sali Fledgling Survival","Scenario 3","Refuge",0.2,0.4,0.45,0.9,"Round 2"
"155","Expert 1","Sali Fledgling Survival","Scenario 1a","HMU",0.15,0.3,0.5,0.8,"Round 2"
"156","Expert 1","Sali Fledgling Survival","Scenario 1b","HMU",0,0.15,0.3,0.8,"Round 2"
"157","Expert 1","Sali Fledgling Survival","Scenario 1c","HMU",0,0.2,0.35,0.8,"Round 2"
"158","Expert 1","Sali Fledgling Survival","Scenario 2a","HMU",0.1,0.25,0.45,0.8,"Round 2"
"159","Expert 1","Sali Fledgling Survival","Scenario 2b","HMU",0,0.1,0.25,0.8,"Round 2"
"160","Expert 1","Sali Fledgling Survival","Scenario 2c","HMU",0,0.12,0.28,0.8,"Round 2"
"161","Expert 1","Sali Fledgling Survival","Scenario 3","HMU",0.15,0.3,0.5,0.8,"Round 2"
"162","Expert 1","Sali Fledgling Survival","Scenario 1a","Refuge",0.15,0.3,0.5,0.9,"Round 2"
"163","Expert 1","Sali Fledgling Survival","Scenario 1b","Refuge",0,0.15,0.3,0.8,"Round 2"
"164","Expert 1","Sali Fledgling Survival","Scenario 1c","Refuge",0,0.2,0.35,0.8,"Round 2"
"165","Expert 1","Sali Fledgling Survival","Scenario 2a","Refuge",0.1,0.25,0.45,0.8,"Round 2"
"166","Expert 1","Sali Fledgling Survival","Scenario 2b","Refuge",0,0.1,0.25,0.8,"Round 2"
"167","Expert 1","Sali Fledgling Survival","Scenario 2c","Refuge",0,0.12,0.28,0.8,"Round 2"
"168","Expert 1","Sali Fledgling Survival","Scenario 3","Refuge",0.15,0.3,0.5,0.8,"Round 2"
"169","aircon","Sali Fledgling Survival","Scenario 1a","HMU",0.5,0.6,0.7,0.75,"Round 2"
"170","aircon","Sali Fledgling Survival","Scenario 1b","HMU",0.1,0.2,0.3,0.8,"Round 2"
