"","Expert","Parameter","Scenario","Site","Min","Best","Max","Conf","Round"
"254","CDEDBDiis","Sali Nest Success","Scenario 1b","HMU",0.4,0.5,0.6,0.9,"Round 2"
"255","CDEDBDiis","Sali Nest Success","Scenario 1c","HMU",0.45,0.56,0.61,0.9,"Round 2"
"256","CDEDBDiis","Sali Nest Success","Scenario 2a","HMU",0.48,0.58,0.63,0.9,"Round 2"
"257","CDEDBDiis","Sali Nest Success","Scenario 2b","HMU",0.39,0.46,0.61,0.9,"Round 2"
"258","CDEDBDiis","Sali Nest Success","Scenario 2c","HMU",0.4,0.48,0.61,0.9,"Round 2"
"259","CDEDBDiis","Sali Nest Success","Scenario 3","HMU",0.48,0.58,0.63,0.9,"Round 2"
"260","CDEDBDiis","Sali Nest Success","Scenario 1a","Refuge",0.48,0.6,0.65,0.9,"Round 2"
"261","CDEDBDiis","Sali Nest Success","Scenario 1b","Refuge",0.4,0.5,0.6,0.9,"Round 2"
"262","CDEDBDiis","Sali Nest Success","Scenario 1c","Refuge",0.45,0.56,0.61,0.9,"Round 2"
"263","CDEDBDiis","Sali Nest Success","Scenario 2a","Refuge",0.48,0.58,0.63,0.9,"Round 2"
"264","CDEDBDiis","Sali Nest Success","Scenario 2b","Refuge",0.45,0.55,0.61,0.9,"Round 2"
"265","CDEDBDiis","Sali Nest Success","Scenario 2c","Refuge",0.45,0.55,0.61,0.9,"Round 2"
"266","CDEDBDiis","Sali Nest Success","Scenario 3","Refuge",0.48,0.58,0.63,0.9,"Round 2"
"267","96929","Sali Nest Success","Scenario 1a","HMU",0.45,0.65,0.7,0.9,"Round 2"
"268","96929","Sali Nest Success","Scenario 1b","HMU",0.35,0.55,0.65,0.9,"Round 2"
"269","96929","Sali Nest Success","Scenario 1c","HMU",0.4,0.6,0.675,0.9,"Round 2"
"270","96929","Sali Nest Success","Scenario 2a","HMU",0.35,0.55,0.65,0.9,"Round 2"
"271","96929","Sali Nest Success","Scenario 2b","HMU",0.3,0.45,0.6,0.9,"Round 2"
"272","96929","Sali Nest Success","Scenario 2c","HMU",0.325,0.5,0.625,0.9,"Round 2"
"273","96929","Sali Nest Success","Scenario 3","HMU",0.45,0.65,0.7,0.9,"Round 2"
"274","96929","Sali Nest Success","Scenario 1a","Refuge",0.45,0.65,0.7,0.9,"Round 2"
"275","96929","Sali Nest Success","Scenario 1b","Refuge",0.35,0.55,0.65,0.9,"Round 2"
"276","96929","Sali Nest Success","Scenario 1c","Refuge",0.4,0.6,0.675,0.9,"Round 2"
"277","96929","Sali Nest Success","Scenario 2a","Refuge",0.35,0.55,0.65,0.9,"Round 2"
"278","96929","Sali Nest Success","Scenario 2b","Refuge",0.3,0.45,0.6,0.9,"Round 2"
"279","96929","Sali Nest Success","Scenario 2c","Refuge",0.325,0.5,0.625,0.9,"Round 2"
"280","96929","Sali Nest Success","Scenario 3","Refuge",0.45,0.65,0.7,0.9,"Round 2"
"281","GuamX","Sali Nest Attempts","Scenario 1a","HMU",1,2,4,0.9,"Round 2"
"282","GuamX","Sali Nest Attempts","Scenario 1b","HMU",1,6,10,0.9,"Round 2"
"283","GuamX","Sali Nest Attempts","Scenario 1c","HMU",1,3,5,0.9,"Round 2"
"284","GuamX","Sali Nest Attempts","Scenario 2a","HMU",1,2,4,0.9,"Round 2"
"285","GuamX","Sali Nest Attempts","Scenario 2b","HMU",1,6,10,0.9,"Round 2"
"286","GuamX","Sali Nest Attempts","Scenario 2c","HMU",1,3,5,0.9,"Round 2"
"287","GuamX","Sali Nest Attempts","Scenario 3","HMU",1,2,5,0.9,"Round 2"
"288","GuamX","Sali Nest Attempts","Scenario 1a","Refuge",1,2,4,0.9,"Round 2"
"289","GuamX","Sali Nest Attempts","Scenario 1b","Refuge",1,6,10,0.9,"Round 2"
"290","GuamX","Sali Nest Attempts","Scenario 1c","Refuge",1,3,5,0.9,"Round 2"
"291","GuamX","Sali Nest Attempts","Scenario 2a","Refuge",1,2,4,0.9,"Round 2"
"292","GuamX","Sali Nest Attempts","Scenario 2b","Refuge",1,6,10,0.9,"Round 2"
"293","GuamX","Sali Nest Attempts","Scenario 2c","Refuge",1,3,5,0.9,"Round 2"
"294","GuamX","Sali Nest Attempts","Scenario 3","Refuge",1,2,5,0.9,"Round 2"
"295","Expert 1","Sali Nest Attempts","Scenario 1a","HMU",2,3,6,0.8,"Round 2"
"296","Expert 1","Sali Nest Attempts","Scenario 1b","HMU",2,5,6,0.8,"Round 2"
"297","Expert 1","Sali Nest Attempts","Scenario 1c","HMU",2,5,6,0.8,"Round 2"
"298","Expert 1","Sali Nest Attempts","Scenario 2a","HMU",2,4,6,0.8,"Round 2"
"299","Expert 1","Sali Nest Attempts","Scenario 2b","HMU",2,5,6,0.8,"Round 2"
"300","Expert 1","Sali Nest Attempts","Scenario 2c","HMU",2,5,6,0.8,"Round 2"
"301","Expert 1","Sali Nest Attempts","Scenario 3","HMU",2,2.5,6,0.8,"Round 2"
"302","Expert 1","Sali Nest Attempts","Scenario 1a","Refuge",2,3,6,0.8,"Round 2"
"303","Expert 1","Sali Nest Attempts","Scenario 1b","Refuge",2,5,6,0.8,"Round 2"
"304","Expert 1","Sali Nest Attempts","Scenario 1c","Refuge",2,5,6,0.8,"Round 2"
"305","Expert 1","Sali Nest Attempts","Scenario 2a","Refuge",2,4,6,0.8,"Round 2"
"306","Expert 1","Sali Nest Attempts","Scenario 2b","Refuge",2,5,6,0.8,"Round 2"
"307","Expert 1","Sali Nest Attempts","Scenario 2c","Refuge",2,5,6,0.8,"Round 2"
"308","Expert 1","Sali Nest Attempts","Scenario 3","Refuge",2,2.5,6,0.8,"Round 2"
"309","aircon","Sali Nest Attempts","Scenario 1a","HMU",3,4,5,0.8,"Round 2"
"310","aircon","Sali Nest Attempts","Scenario 1b","HMU",4,5,6,0.8,"Round 2"
"311","aircon","Sali Nest Attempts","Scenario 1c","HMU",3.5,4.5,5.5,0.8,"Round 2"
"312","aircon","Sali Nest Attempts","Scenario 2a","HMU",3.5,4.5,5.5,0.8,"Round 2"
"313","aircon","Sali Nest Attempts","Scenario 2b","HMU",4.5,5.5,6.5,0.8,"Round 2"
"314","aircon","Sali Nest Attempts","Scenario 2c","HMU",4,5,6,0.8,"Round 2"
"315","aircon","Sali Nest Attempts","Scenario 3","HMU",3,4,5,0.8,"Round 2"
"316","aircon","Sali Nest Attempts","Scenario 1a","Refuge",3,4,5,0.8,"Round 2"
"317","aircon","Sali Nest Attempts","Scenario 1b","Refuge",4,5,6,0.8,"Round 2"
"318","aircon","Sali Nest Attempts","Scenario 1c","Refuge",3.5,4.5,5.5,0.8,"Round 2"
"319","aircon","Sali Nest Attempts","Scenario 2a","Refuge",3.5,4.5,5.5,0.8,"Round 2"
"320","aircon","Sali Nest Attempts","Scenario 2b","Refuge",4.5,5.5,6.5,0.8,"Round 2"
"321","aircon","Sali Nest Attempts","Scenario 2c","Refuge",4,5,6,0.8,"Round 2"
"322","aircon","Sali Nest Attempts","Scenario 3","Refuge",3,4,5,0.8,"Round 2"
"323","CDEDBDiis","Sali Nest Attempts","Scenario 1a","HMU",1.1,1.8,2.2,0.9,"Round 2"
"324","CDEDBDiis","Sali Nest Attempts","Scenario 1b","HMU",1.1,1.8,2.2,0.9,"Round 2"
"325","CDEDBDiis","Sali Nest Attempts","Scenario 1c","HMU",1.1,1.8,2.2,0.9,"Round 2"
"326","CDEDBDiis","Sali Nest Attempts","Scenario 2a","HMU",1.1,1.8,2.2,0.9,"Round 2"
"327","CDEDBDiis","Sali Nest Attempts","Scenario 2b","HMU",1.1,1.8,2.2,0.9,"Round 2"
"328","CDEDBDiis","Sali Nest Attempts","Scenario 2c","HMU",1.1,1.8,2.2,0.9,"Round 2"
"329","CDEDBDiis","Sali Nest Attempts","Scenario 3","HMU",1.1,1.8,2.2,0.9,"Round 2"
"330","CDEDBDiis","Sali Nest Attempts","Scenario 1a","Refuge",1.1,1.8,2.2,0.9,"Round 2"
"331","CDEDBDiis","Sali Nest Attempts","Scenario 1b","Refuge",1.1,1.8,2.2,0.9,"Round 2"
"332","CDEDBDiis","Sali Nest Attempts","Scenario 1c","Refuge",1.1,1.8,2.2,0.9,"Round 2"
"333","CDEDBDiis","Sali Nest Attempts","Scenario 2a","Refuge",1.1,1.8,2.2,0.9,"Round 2"
"334","CDEDBDiis","Sali Nest Attempts","Scenario 2b","Refuge",1.1,1.8,2.2,0.9,"Round 2"
"335","CDEDBDiis","Sali Nest Attempts","Scenario 2c","Refuge",1.1,1.8,2.2,0.9,"Round 2"
"336","CDEDBDiis","Sali Nest Attempts","Scenario 3","Refuge",1.1,1.8,2.2,0.9,"Round 2"
"337","96929","Sali Nest Attempts","Scenario 1a","HMU",3,4,5,0.9,"Round 2"
"338","96929","Sali Nest Attempts","Scenario 1b","HMU",3,4,5,0.9,"Round 2"
"339","96929","Sali Nest Attempts","Scenario 1c","HMU",3,4,5,0.9,"Round 2"
"340","96929","Sali Nest Attempts","Scenario 2a","HMU",3.5,4.5,5.5,0.9,"Round 2"
"341","96929","Sali Nest Attempts","Scenario 2b","HMU",3.3,4.3,5.3,0.9,"Round 2"
"342","96929","Sali Nest Attempts","Scenario 2c","HMU",3.4,4.4,4.4,0.9,"Round 2"
"343","96929","Sali Nest Attempts","Scenario 3","HMU",3,4,5,0.9,"Round 2"
"344","96929","Sali Nest Attempts","Scenario 1a","Refuge",3,4,5,0.9,"Round 2"
"345","96929","Sali Nest Attempts","Scenario 1b","Refuge",3,4,5,0.9,"Round 2"
"346","96929","Sali Nest Attempts","Scenario 1c","Refuge",3,4,5,0.9,"Round 2"
"347","96929","Sali Nest Attempts","Scenario 2a","Refuge",3.5,4.5,5.5,0.9,"Round 2"
"348","96929","Sali Nest Attempts","Scenario 2b","Refuge",3.3,4.3,5.3,0.9,"Round 2"
"349","96929","Sali Nest Attempts","Scenario 2c","Refuge",3.4,4.4,4.4,0.9,"Round 2"
"350","96929","Sali Nest Attempts","Scenario 3","Refuge",3,4,5,0.9,"Round 2"
"351","GuamX","Sali Fledglings per Nest","Scenario 1a","HMU",1.8,2,1.96,0.95,"Round 2"
"352","GuamX","Sali Fledglings per Nest","Scenario 1b","HMU",1.3,1.6,1.88,0.9,"Round 2"
"353","GuamX","Sali Fledglings per Nest","Scenario 1c","HMU",1.8,1.88,1.96,0.95,"Round 2"
"354","GuamX","Sali Fledglings per Nest","Scenario 2a","HMU",1.8,2,1.96,0.95,"Round 2"
"355","GuamX","Sali Fledglings per Nest","Scenario 2b","HMU",1.3,1.6,1.88,0.9,"Round 2"
"356","GuamX","Sali Fledglings per Nest","Scenario 2c","HMU",1.75,1.8,1.96,0.9,"Round 2"
"357","GuamX","Sali Fledglings per Nest","Scenario 3","HMU",1.75,1.8,1.96,0.9,"Round 2"
"358","GuamX","Sali Fledglings per Nest","Scenario 1a","Refuge",1.8,2,1.96,0.95,"Round 2"
"359","GuamX","Sali Fledglings per Nest","Scenario 1b","Refuge",1.3,1.6,1.88,0.9,"Round 2"
"360","GuamX","Sali Fledglings per Nest","Scenario 1c","Refuge",1.8,1.88,1.96,0.95,"Round 2"
"361","GuamX","Sali Fledglings per Nest","Scenario 2a","Refuge",1.8,2,1.96,0.95,"Round 2"
"362","GuamX","Sali Fledglings per Nest","Scenario 2b","Refuge",1.3,1.6,1.88,0.9,"Round 2"
"363","GuamX","Sali Fledglings per Nest","Scenario 2c","Refuge",1.75,1.8,1.96,0.9,"Round 2"
"364","GuamX","Sali Fledglings per Nest","Scenario 3","Refuge",1.75,1.8,1.96,0.9,"Round 2"
"365","Expert 1","Sali Fledglings per Nest","Scenario 1a","HMU",0.4,1.4,2.2,0.8,"Round 2"
"366","Expert 1","Sali Fledglings per Nest","Scenario 1b","HMU",0.4,1.4,2.2,0.8,"Round 2"
"367","Expert 1","Sali Fledglings per Nest","Scenario 1c","HMU",0.4,1.4,2.2,0.8,"Round 2"
"368","Expert 1","Sali Fledglings per Nest","Scenario 2a","HMU",0.4,1.4,2.2,0.8,"Round 2"
"369","Expert 1","Sali Fledglings per Nest","Scenario 2b","HMU",0.4,1.4,2.2,0.8,"Round 2"
"370","Expert 1","Sali Fledglings per Nest","Scenario 2c","HMU",0.4,1.4,2.2,0.8,"Round 2"
"371","Expert 1","Sali Fledglings per Nest","Scenario 3","HMU",0.2,1.2,2.1,0.8,"Round 2"
"372","Expert 1","Sali Fledglings per Nest","Scenario 1a","Refuge",0.5,1.5,2.4,0.8,"Round 2"
"373","Expert 1","Sali Fledglings per Nest","Scenario 1b","Refuge",0.5,1.5,2.4,0.8,"Round 2"
"374","Expert 1","Sali Fledglings per Nest","Scenario 1c","Refuge",0.5,1.5,2.4,0.8,"Round 2"
"375","Expert 1","Sali Fledglings per Nest","Scenario 2a","Refuge",0.5,1.5,2.4,0.8,"Round 2"
"376","Expert 1","Sali Fledglings per Nest","Scenario 2b","Refuge",0.5,1.5,2.4,0.8,"Round 2"
"377","Expert 1","Sali Fledglings per Nest","Scenario 2c","Refuge",0.5,1.5,2.4,0.8,"Round 2"
"378","Expert 1","Sali Fledglings per Nest","Scenario 3","Refuge",0.3,1.4,2.2,0.8,"Round 2"
"379","aircon","Sali Fledglings per Nest","Scenario 1a","HMU",0.8,1.2,1.6,0.8,"Round 2"
"380","aircon","Sali Fledglings per Nest","Scenario 1b","HMU",0.6,1,1.4,0.8,"Round 2"
"381","aircon","Sali Fledglings per Nest","Scenario 1c","HMU",0.7,1.1,1.5,0.8,"Round 2"
"382","aircon","Sali Fledglings per Nest","Scenario 2a","HMU",0.7,1.1,1.5,0.8,"Round 2"
"383","aircon","Sali Fledglings per Nest","Scenario 2b","HMU",0.5,0.9,1.3,0.8,"Round 2"
"384","aircon","Sali Fledglings per Nest","Scenario 2c","HMU",0.6,1,1.4,0.8,"Round 2"
"385","aircon","Sali Fledglings per Nest","Scenario 3","HMU",0.8,1.2,1.6,0.8,"Round 2"
"386","aircon","Sali Fledglings per Nest","Scenario 1a","Refuge",0.8,1.2,1.6,0.8,"Round 2"
"387","aircon","Sali Fledglings per Nest","Scenario 1b","Refuge",0.6,1,1.4,0.8,"Round 2"
"388","aircon","Sali Fledglings per Nest","Scenario 1c","Refuge",0.7,1.1,1.5,0.8,"Round 2"
"389","aircon","Sali Fledglings per Nest","Scenario 2a","Refuge",0.7,1.1,1.5,0.8,"Round 2"
"390","aircon","Sali Fledglings per Nest","Scenario 2b","Refuge",0.5,0.9,1.3,0.8,"Round 2"
"391","aircon","Sali Fledglings per Nest","Scenario 2c","Refuge",0.6,1,1.4,0.8,"Round 2"
"392","aircon","Sali Fledglings per Nest","Scenario 3","Refuge",0.8,1.2,1.6,0.8,"Round 2"
"393","CDEDBDiis","Sali Fledglings per Nest","Scenario 1a","HMU",1.65,2.15,2.3,0.9,"Round 2"
"394","CDEDBDiis","Sali Fledglings per Nest","Scenario 1b","HMU",1.5,1.77,1.95,0.9,"Round 2"
"395","CDEDBDiis","Sali Fledglings per Nest","Scenario 1c","HMU",1.6,1.82,2.05,0.9,"Round 2"
"396","CDEDBDiis","Sali Fledglings per Nest","Scenario 2a","HMU",1.65,1.9,2.05,0.9,"Round 2"
"397","CDEDBDiis","Sali Fledglings per Nest","Scenario 2b","HMU",1.6,1.72,1.95,0.9,"Round 2"
"398","CDEDBDiis","Sali Fledglings per Nest","Scenario 2c","HMU",1.6,1.75,2,0.9,"Round 2"
"399","CDEDBDiis","Sali Fledglings per Nest","Scenario 3","HMU",1.65,1.95,2.15,0.9,"Round 2"
"400","CDEDBDiis","Sali Fledglings per Nest","Scenario 1a","Refuge",1.65,2.15,2.3,0.9,"Round 2"
"401","CDEDBDiis","Sali Fledglings per Nest","Scenario 1b","Refuge",1.5,1.77,1.95,0.9,"Round 2"
"402","CDEDBDiis","Sali Fledglings per Nest","Scenario 1c","Refuge",1.6,1.82,2.05,0.9,"Round 2"
"403","CDEDBDiis","Sali Fledglings per Nest","Scenario 2a","Refuge",1.65,1.9,2.05,0.9,"Round 2"
"404","CDEDBDiis","Sali Fledglings per Nest","Scenario 2b","Refuge",1.6,1.72,1.95,0.9,"Round 2"
"405","CDEDBDiis","Sali Fledglings per Nest","Scenario 2c","Refuge",1.6,1.75,2,0.9,"Round 2"
"406","CDEDBDiis","Sali Fledglings per Nest","Scenario 3","Refuge",1.65,1.95,2.15,0.9,"Round 2"
"407","96929","Sali Fledglings per Nest","Scenario 1a","HMU",1.12,1.4,1.68,0.9,"Round 2"
"408","96929","Sali Fledglings per Nest","Scenario 1b","HMU",1.04,1.3,1.56,0.9,"Round 2"
"409","96929","Sali Fledglings per Nest","Scenario 1c","HMU",0.96,1.2,1.44,0.9,"Round 2"
"410","96929","Sali Fledglings per Nest","Scenario 2a","HMU",1.04,1.3,1.56,0.9,"Round 2"
"411","96929","Sali Fledglings per Nest","Scenario 2b","HMU",0.92,1.15,1.38,0.9,"Round 2"
"412","96929","Sali Fledglings per Nest","Scenario 2c","HMU",0.96,1.2,1.44,0.9,"Round 2"
"413","96929","Sali Fledglings per Nest","Scenario 3","HMU",1.12,1.4,1.68,0.9,"Round 2"
"414","96929","Sali Fledglings per Nest","Scenario 1a","Refuge",1.1424,1.428,1.7136,0.9,"Round 2"
"415","96929","Sali Fledglings per Nest","Scenario 1b","Refuge",1.0608,1.326,1.5912,0.9,"Round 2"
"416","96929","Sali Fledglings per Nest","Scenario 1c","Refuge",0.9792,1.224,1.4688,0.9,"Round 2"
"417","96929","Sali Fledglings per Nest","Scenario 2a","Refuge",1.0608,1.326,1.5912,0.9,"Round 2"
"418","96929","Sali Fledglings per Nest","Scenario 2b","Refuge",0.9384,1.173,1.4076,0.9,"Round 2"
"419","96929","Sali Fledglings per Nest","Scenario 2c","Refuge",0.9792,1.224,1.4688,0.9,"Round 2"
"420","96929","Sali Fledglings per Nest","Scenario 3","Refuge",1.1424,1.428,1.7136,0.9,"Round 2"
